Entity,Code,Day,new_vaccinations_smoothed_per_million
Jordan,JOR,2021-05-05,0.2988
Jordan,JOR,2021-05-06,0.3054
Jordan,JOR,2021-05-07,0.2904
Jordan,JOR,2021-05-08,0.2753
Jordan,JOR,2021-05-09,0.26030000000000003
Jordan,JOR,2021-05-10,0.24530000000000002
Jordan,JOR,2021-05-11,0.2303
Jordan,JOR,2021-05-12,0.2303
Jordan,JOR,2021-05-13,0.2303
Jordan,JOR,2021-05-14,0.2303
Jordan,JOR,2021-05-15,0.2303
Jordan,JOR,2021-05-16,0.2303
Jordan,JOR,2021-05-17,0.2303
Jordan,JOR,2021-05-18,0.2303
Kazakhstan,KAZ,2021-02-01,0.0068000000000000005
Kazakhstan,KAZ,2021-02-02,0.0068000000000000005
Kazakhstan,KAZ,2021-02-03,0.0068000000000000005
Kazakhstan,KAZ,2021-02-04,0.0068000000000000005
Kazakhstan,KAZ,2021-02-05,0.0068000000000000005
Kazakhstan,KAZ,2021-02-06,0.0068000000000000005
Kazakhstan,KAZ,2021-02-07,0.0068000000000000005
Kazakhstan,KAZ,2021-02-08,0.0068000000000000005
Kazakhstan,KAZ,2021-02-09,0.0068000000000000005
Kazakhstan,KAZ,2021-02-10,0.0068000000000000005
Kazakhstan,KAZ,2021-02-11,0.0068000000000000005
Kazakhstan,KAZ,2021-02-12,0.0063
Kazakhstan,KAZ,2021-02-13,0.0058000000000000005
Kazakhstan,KAZ,2021-02-14,0.0053
Kazakhstan,KAZ,2021-02-15,0.0048000000000000004
Kazakhstan,KAZ,2021-02-16,0.0044
Kazakhstan,KAZ,2021-02-17,0.0039000000000000003
Kazakhstan,KAZ,2021-02-18,0.0034000000000000002
Kazakhstan,KAZ,2021-02-19,0.0034000000000000002
Kazakhstan,KAZ,2021-02-20,0.0034000000000000002
Kazakhstan,KAZ,2021-02-21,0.0034000000000000002
Kazakhstan,KAZ,2021-02-22,0.0034000000000000002
Kazakhstan,KAZ,2021-02-23,0.0034000000000000002
Kazakhstan,KAZ,2021-02-24,0.0034000000000000002
Kazakhstan,KAZ,2021-02-25,0.0055000000000000005
Kazakhstan,KAZ,2021-02-26,0.0077
Kazakhstan,KAZ,2021-02-27,0.0098
Kazakhstan,KAZ,2021-02-28,0.012
Kazakhstan,KAZ,2021-03-01,0.014100000000000001
Kazakhstan,KAZ,2021-03-02,0.0162
Kazakhstan,KAZ,2021-03-03,0.0184
Kazakhstan,KAZ,2021-03-04,0.0184
Kazakhstan,KAZ,2021-03-05,0.0184
Kazakhstan,KAZ,2021-03-06,0.0184
Kazakhstan,KAZ,2021-03-07,0.0184
Kazakhstan,KAZ,2021-03-08,0.0184
Kazakhstan,KAZ,2021-03-09,0.0184
Kazakhstan,KAZ,2021-03-10,0.0184
Kazakhstan,KAZ,2021-03-11,0.0184
Kazakhstan,KAZ,2021-03-12,0.0184
Kazakhstan,KAZ,2021-03-13,0.0184
Kazakhstan,KAZ,2021-03-14,0.0184
Kazakhstan,KAZ,2021-03-15,0.0184
Kazakhstan,KAZ,2021-03-16,0.021400000000000002
Kazakhstan,KAZ,2021-03-17,0.024300000000000002
Kazakhstan,KAZ,2021-03-18,0.0273
Kazakhstan,KAZ,2021-03-19,0.033800000000000004
Kazakhstan,KAZ,2021-03-20,0.0403
Kazakhstan,KAZ,2021-03-21,0.0468
Kazakhstan,KAZ,2021-03-22,0.053200000000000004
Kazakhstan,KAZ,2021-03-23,0.0567
Kazakhstan,KAZ,2021-03-24,0.060200000000000004
Kazakhstan,KAZ,2021-03-25,0.0637
Kazakhstan,KAZ,2021-03-26,0.0637
Kazakhstan,KAZ,2021-03-27,0.0637
Kazakhstan,KAZ,2021-03-28,0.0637
Kazakhstan,KAZ,2021-03-29,0.0637
Kazakhstan,KAZ,2021-03-30,0.0637
Kazakhstan,KAZ,2021-03-31,0.0637
Kazakhstan,KAZ,2021-04-01,0.0637
Kazakhstan,KAZ,2021-04-02,0.0637
Kazakhstan,KAZ,2021-04-03,0.0637
Kazakhstan,KAZ,2021-04-04,0.0637
Kazakhstan,KAZ,2021-04-05,0.0637
Kazakhstan,KAZ,2021-04-06,0.0637
Kazakhstan,KAZ,2021-04-07,0.0637
Kazakhstan,KAZ,2021-04-08,0.0637
Kazakhstan,KAZ,2021-04-09,0.0637
Kazakhstan,KAZ,2021-04-10,0.0637
Kazakhstan,KAZ,2021-04-11,0.077
Kazakhstan,KAZ,2021-04-12,0.0902
Kazakhstan,KAZ,2021-04-13,0.13340000000000002
Kazakhstan,KAZ,2021-04-14,0.1767
Kazakhstan,KAZ,2021-04-15,0.22
Kazakhstan,KAZ,2021-04-16,0.2632
Kazakhstan,KAZ,2021-04-17,0.3065
Kazakhstan,KAZ,2021-04-18,0.3365
Kazakhstan,KAZ,2021-04-19,0.3234
Kazakhstan,KAZ,2021-04-20,0.2802
Kazakhstan,KAZ,2021-04-21,0.23700000000000002
Kazakhstan,KAZ,2021-04-22,0.2326
Kazakhstan,KAZ,2021-04-23,0.1976
Kazakhstan,KAZ,2021-04-24,0.1626
Kazakhstan,KAZ,2021-04-25,0.1438
Kazakhstan,KAZ,2021-04-26,0.1681
Kazakhstan,KAZ,2021-04-27,0.19240000000000002
Kazakhstan,KAZ,2021-04-28,0.5072
Kazakhstan,KAZ,2021-04-29,0.4859
Kazakhstan,KAZ,2021-04-30,0.49520000000000003
Kazakhstan,KAZ,2021-05-01,0.5044000000000001
Kazakhstan,KAZ,2021-05-02,0.4975
Kazakhstan,KAZ,2021-05-03,0.49060000000000004
Kazakhstan,KAZ,2021-05-04,0.4837
Kazakhstan,KAZ,2021-05-05,0.3546
Kazakhstan,KAZ,2021-05-06,0.3786
Kazakhstan,KAZ,2021-05-07,0.4026
Kazakhstan,KAZ,2021-05-08,0.4324
Kazakhstan,KAZ,2021-05-09,0.4622
Kazakhstan,KAZ,2021-05-10,0.49210000000000004
Kazakhstan,KAZ,2021-05-11,0.5219
Kazakhstan,KAZ,2021-05-12,0.3415
Kazakhstan,KAZ,2021-05-13,0.3054
Kazakhstan,KAZ,2021-05-14,0.26930000000000004
Kazakhstan,KAZ,2021-05-15,0.2518
Kazakhstan,KAZ,2021-05-16,0.2157
Kazakhstan,KAZ,2021-05-17,0.1693
Kazakhstan,KAZ,2021-05-18,0.14800000000000002
Kazakhstan,KAZ,2021-05-19,0.1719
Kazakhstan,KAZ,2021-05-20,0.19840000000000002
Kazakhstan,KAZ,2021-05-21,0.2253
Kazakhstan,KAZ,2021-05-22,0.23450000000000001
Kenya,KEN,2021-03-05,0.0012000000000000001
Kenya,KEN,2021-03-06,0.0012000000000000001
Kenya,KEN,2021-03-07,0.0012000000000000001
Kenya,KEN,2021-03-08,0.0012000000000000001
Kenya,KEN,2021-03-09,0.0012000000000000001
Kenya,KEN,2021-03-10,0.0012000000000000001
Kenya,KEN,2021-03-11,0.0014
Kenya,KEN,2021-03-12,0.0016
Kenya,KEN,2021-03-13,0.0017000000000000001
Kenya,KEN,2021-03-14,0.0019
Kenya,KEN,2021-03-15,0.0027
Kenya,KEN,2021-03-16,0.0035
Kenya,KEN,2021-03-17,0.0043
Kenya,KEN,2021-03-18,0.0056
Kenya,KEN,2021-03-19,0.006900000000000001
Kenya,KEN,2021-03-20,0.0082
Kenya,KEN,2021-03-21,0.009600000000000001
